"","dataSetName","functionName","seed","trainAndTestRatio","maxit","learnRate","momentum","networkSize","train.Accuracy","train.Kappa","train.AccuracyLower","train.AccuracyUpper","train.AccuracyNull","train.AccuracyPValue","train.McnemarPValue","train.Sensitivity","train.Specificity","train.Pos.Pred.Value","train.Neg.Pred.Value","train.Precision","train.Recall","train.F1","train.Prevalence","train.Detection.Rate","train.Detection.Prevalence","train.Balanced.Accuracy","train.AUC","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","test.Sensitivity","test.Specificity","test.Pos.Pred.Value","test.Neg.Pred.Value","test.Precision","test.Recall","test.F1","test.Prevalence","test.Detection.Rate","test.Detection.Prevalence","test.Balanced.Accuracy","test.AUC"
"91","4","baseLine","1","0.3","100","0.05","0.01","25","0.998244897959184","0.991288617471923","0.997832910369523","0.998595912557947","0.886040816326531","0","0.00176509591937905","0.999355076469504","0.989613180515759","0.998665009437002","0.994958588404753","0.998665009437002","0.999355076469504","0.999009923787157","0.886040816326531","0.885469387755102","0.88665306122449","0.994484128492632","0.999894025178153","0.996809523809524","0.983571255493296","0.995949953794944","0.997526595245268","0.890809523809524","0","0.328393158355313","0.998449778157909","0.983427823811601","0.997969651634965","0.987302977232925","0.997969651634965","0.998449778157909","0.998209657162707","0.890809523809524","0.889428571428571","0.891238095238095","0.990938800984755","0.999786386111568"
"92","4","briSelection","1","0.3","100","0.05","0.01","25","0.993553008595988","0.987106017191977","0.991887875210798","0.994952307482418","0.5","0","1","0.993553008595988","0.993553008595988","0.993553008595988","0.993553008595988","0.993553008595988","0.993553008595988","0.993553008595988","0.5","0.496776504297994","0.5","0.993553008595988","0.999589879188184","0.946","0.769951767152779","0.942857006552629","0.949018797514164","0.890809523809524","3.14087591469952e-174","2.86931100445685e-225","0.940824290372588","0.988225032708242","0.998468258920973","0.671805514378891","0.998468258920973","0.940824290372588","0.968789563494248","0.890809523809524","0.838095238095238","0.839380952380952","0.964524661540415","0.997217401099719"
"93","4","briSelectionPlusPlus","1","0.3","100","0.05","0.01","25","0.996418338108882","0.992836676217765","0.995125953730539","0.997440012653947","0.5","0","0.874367061162892","0.996239255014327","0.996597421203438","0.996596202078108","0.996240601503759","0.996596202078108","0.996239255014327","0.9964176965789","0.5","0.498119627507163","0.499820916905444","0.996418338108882","0.999857862414923","0.980095238095238","0.904853179394203","0.978114505089064","0.981941445211435","0.890809523809524","0","2.41046915416446e-82","0.978296894210723","0.994766681203663","0.999344727789002","0.848902121324898","0.999344727789002","0.978296894210723","0.988708806050783","0.890809523809524","0.871476190476191","0.872047619047619","0.986531787707193","0.999269637726651"
"94","4","briSelectionPlusPlusNeg","1","0.3","100","0.05","0.01","25","0.993194842406877","0.986389684813754","0.991489631647794","0.994634672130759","0.5","0","0.908676678179949","0.993373925501433","0.993015759312321","0.993018259935553","0.993371551415263","0.993018259935553","0.993373925501433","0.99319606087735","0.5","0.496686962750716","0.500179083094556","0.993194842406877","0.999676309872251","0.994238095238095","0.970756141900729","0.993119128248531","0.99521668933657","0.890809523809524","0","1.97317529007539e-09","0.994975142994601","0.988225032708242","0.998551502145923","0.960169491525424","0.998551502145923","0.994975142994601","0.996760114600905","0.890809523809524","0.886333333333333","0.887619047619048","0.991600087851422","0.999678425190763"
"95","4","briSelectionPlusPlusLog","1","0.3","100","0.05","0.01","25","0.996418338108882","0.992836676217765","0.995125953730539","0.997440012653947","0.5","0","0.874367061162892","0.996597421203438","0.996239255014327","0.996240601503759","0.996596202078108","0.996240601503759","0.996597421203438","0.996418979409132","0.5","0.498298710601719","0.500179083094556","0.996418338108882","0.999860235650775","0.989428571428571","0.947486782990989","0.987951650815767","0.990767540432837","0.890809523809524","0","5.88403186181759e-34","0.989201903030951","0.991277802006105","0.998920377867746","0.918383838383839","0.998920377867746","0.989201903030951","0.994037387193812","0.890809523809524","0.881190476190476","0.882142857142857","0.990239852518528","0.999584195425725"
"96","4","briSelectionPlusPlusLogNeg","1","0.3","100","0.05","0.01","25","0.995343839541547","0.990687679083095","0.993898493953514","0.996520659913485","0.5","0","0.677391601926278","0.995702005730659","0.994985673352435","0.994989262705798","0.995698924731183","0.994989262705798","0.995702005730659","0.995345506623702","0.5","0.49785100286533","0.500358166189112","0.995343839541547","0.999750874377058","0.990428571428571","0.952286637735557","0.989017759974199","0.991700997088662","0.890809523809524","0","3.07934823487124e-30","0.990271021542738","0.9917139119058","0.998975409836066","0.925895765472313","0.998975409836066","0.990271021542738","0.994604171700089","0.890809523809524","0.882142857142857","0.883047619047619","0.990992466724269","0.999546778609079"
"97","5","baseLine","1","0.3","100","0.05","0.01","25","0.99769387755102","0.987038714351327","0.997228051722991","0.998099062445193","0.90069387755102","0","4.86483944050146e-08","0.999388226763946","0.982326346074805","0.998053990450976","0.994383191179529","0.998053990450976","0.999388226763946","0.998720662990932","0.90069387755102","0.900142857142857","0.901897959183673","0.990857286419375","0.999877344546354","0.990904761904762","0.94872143920958","0.989526679274708","0.992144243122461","0.900380952380952","0","0.000168164143046733","0.996350751004866","0.941682600382409","0.993565740203576","0.966159882295243","0.993565740203576","0.996350751004866","0.994956296707069","0.900380952380952","0.897095238095238","0.902904761904762","0.969016675693637","0.997776923058254"
"98","5","briSelection","1","0.3","100","0.05","0.01","25","0.989827373612824","0.979654747225647","0.987628914886948","0.991724717613836","0.5","0","0.159411690798396","0.991368680641184","0.988286066584464","0.988322065150584","0.991341991341991","0.988322065150584","0.991368680641184","0.989843028624192","0.5","0.495684340320592","0.50154130702836","0.989827373612824","0.999177378317622","0.742619047619048","0.326466737728515","0.736648886500733","0.748521979200671","0.900380952380952","1","0","0.716469219378041","0.978967495219885","0.996762563461114","0.276420569577541","0.996762563461114","0.716469219378041","0.833687190375088","0.900380952380952","0.645095238095238","0.647190476190476","0.847718357298963","0.924680884111898"
"99","5","briSelectionPlusPlus","1","0.3","100","0.05","0.01","25","0.992704480065762","0.985408960131525","0.990806477599527","0.994297869354851","0.5","0","0.00439567879110306","0.995273325113029","0.990135635018496","0.990186056021264","0.995248915513324","0.990186056021264","0.995273325113029","0.992723173106488","0.5","0.497636662556515","0.502568845047267","0.992704480065762","0.999639580375941","0.964190476190476","0.82435172081925","0.961588403656443","0.966663004048432","0.900380952380952","2.45054859469418e-270","7.70113280308736e-121","0.963137296382484","0.973709369024857","0.996988941202234","0.745062179956108","0.996988941202234","0.963137296382484","0.979770807553667","0.900380952380952","0.867190476190476","0.869809523809524","0.96842333270367","0.994265265423277"
"100","5","briSelectionPlusPlusNeg","1","0.3","100","0.05","0.01","25","0.99085491163173","0.981709823263461","0.988758065459597","0.992649489262206","0.5","0","0.203374023159808","0.992190711056309","0.989519112207152","0.989547038327526","0.99216979188131","0.989547038327526","0.992190711056309","0.990867111339148","0.5","0.496095355528155","0.501335799424579","0.99085491163173","0.999337907376802","0.975666666666667","0.874812995276702","0.97349186264138","0.977708387903748","0.900380952380952","0","2.30451493888621e-67","0.97609477469854","0.971797323135755","0.996813394544964","0.818108651911469","0.996813394544964","0.97609477469854","0.986345295673783","0.900380952380952","0.878857142857143","0.881666666666667","0.973946048917148","0.996351926567245"
